x,y,datetime
10.809675993013,59.651550850549,2021-05-03 00:05:53
10.8099109905931,59.6515548494747,2021-05-03 01:24:29
10.8101529859732,59.6514398483407,2021-05-03 01:49:45
10.810378984256,59.6514778473154,2021-05-03 01:51:48
10.8103199840062,59.651428847574,2021-05-03 01:53:49
10.8099219909409,59.6515808494303,2021-05-03 02:14:15
10.8098299848961,59.6511878497605,2021-05-03 02:20:57
10.8097799874804,59.6513028500159,2021-05-03 02:23:05
10.8097149945109,59.6516578503953,2021-05-03 02:28:25
10.8096659943338,59.6516188506105,2021-05-03 02:41:44
10.8097599942304,59.6516688501919,2021-05-03 02:43:52
10.809672994331,59.6516228505794,2021-05-03 02:46:00
10.8097289925226,59.6515548503075,2021-05-03 02:48:08
10.8097559942013,59.6516648502093,2021-05-03 02:50:16
10.809737994803,59.651687850297,2021-05-03 02:52:23
10.8097019947024,59.6516608504555,2021-05-03 02:54:28
10.8097729951822,59.6517298501465,2021-05-03 02:56:36
10.8098189924437,59.6516038499069,2021-05-03 02:58:44
10.8098129927753,59.6516188499378,2021-05-03 03:00:52
10.8098129927753,59.6516188499378,2021-05-03 03:03:00
10.8097799930001,59.6516118500872,2021-05-03 03:05:08
10.8096809941211,59.6516158505412,2021-05-03 03:07:16
10.8097169978838,59.6518478504301,2021-05-03 03:13:31
10.809735995378,59.6517188503133,2021-05-03 03:15:47
10.8098359924064,59.651611849831,2021-05-03 03:17:55
10.8098249932018,59.6516498498901,2021-05-03 03:26:27
10.8098239923907,59.6516038498841,2021-05-03 03:28:35
10.8098239923907,59.6516038498841,2021-05-03 03:30:43
10.8098239923907,59.6516038498841,2021-05-03 03:32:51
10.8096839930533,59.6515578505141,2021-05-03 03:41:23
10.8097649926054,59.6515808501487,2021-05-03 03:43:31
10.8097899928227,59.6516078500406,2021-05-03 04:15:50
10.8098469928971,59.6516458497885,2021-05-03 04:30:20
10.8098569913621,59.6515658497243,2021-05-03 04:39:51
10.8098289904264,59.6514968498365,2021-05-03 05:20:13
10.8102949853609,59.6514898477025,2021-05-03 05:30:17
10.8098479901535,59.6514928497486,2021-05-03 05:32:25
10.8098479901535,59.6514928497486,2021-05-03 05:34:33
10.8098479901535,59.6514928497486,2021-05-03 05:36:41
10.8098479901535,59.6514928497486,2021-05-03 05:38:49
10.8098479901535,59.6514928497486,2021-05-03 05:40:57
10.8098479901535,59.6514928497486,2021-05-03 05:43:05
10.8098479901535,59.6514928497486,2021-05-03 05:45:13
10.8099639883163,59.65145884921,2021-05-03 05:53:39
10.8099639883163,59.65145884921,2021-05-03 05:55:47
10.8099639883163,59.65145884921,2021-05-03 05:57:55
10.8099639883163,59.65145884921,2021-05-03 06:00:03
10.8099639883163,59.65145884921,2021-05-03 06:02:11
10.8099639883163,59.65145884921,2021-05-03 06:04:19
10.8099639883163,59.65145884921,2021-05-03 06:06:27
10.8099639883163,59.65145884921,2021-05-03 06:08:35
10.8105829777348,59.6512338463256,2021-05-03 06:22:05
10.8099439877781,59.6514168492918,2021-05-03 06:24:09
10.8099439877781,59.6514168492918,2021-05-03 06:26:19
10.8099439877781,59.6514168492918,2021-05-03 06:28:23
10.8099439877781,59.6514168492918,2021-05-03 06:30:31
10.8093479894702,59.6511578519592,2021-05-03 06:32:34
10.8093479894702,59.6511578519592,2021-05-03 06:34:55
10.8087979871913,59.650703854371,2021-05-03 06:37:25
10.8088499817993,59.6504328540705,2021-05-03 06:39:25
10.8084699730922,59.6497198556445,2021-05-03 06:41:25
10.808394967475,59.6493608559048,2021-05-03 06:43:25
10.808394967475,59.6493608559048,2021-05-03 06:45:25
