x,y,date
263282.994298638,6619784.81156872,2021-05-07 06:21:05
263267.739994228,6619793.81841357,2021-05-07 06:25:05
263272.707269148,6619789.26030512,2021-05-07 06:27:11
263268.38061089,6619795.89937421,2021-05-07 06:29:11
263286.525958644,6619779.00455715,2021-05-07 06:31:18
263289.271941529,6619792.00657962,2021-05-07 06:33:18
263288.847500672,6619774.61421484,2021-05-07 06:37:23
263286.469781144,6619779.90141498,2021-05-07 06:41:24
263274.528728601,6619781.4401357,2021-05-07 06:43:24
263274.528728601,6619781.4401357,2021-05-07 06:45:24
263264.115977404,6619792.81991578,2021-05-07 06:47:24
263264.115977404,6619792.81991578,2021-05-07 06:49:24
263264.115977404,6619792.81991578,2021-05-07 06:51:24
263258.48767653,6619800.32316586,2021-05-07 06:53:24
263264.728267991,6619793.56272709,2021-05-07 06:55:24
263269.231693823,6619793.27718334,2021-05-07 06:57:24
263269.935294163,6619792.78592315,2021-05-07 06:59:26
263259.780085505,6619783.26857879,2021-05-07 07:01:26
263259.780085505,6619783.26857879,2021-05-07 07:03:26
263264.143941907,6619791.47819768,2021-05-07 07:05:26
263266.551034978,6619795.56873167,2021-05-07 07:07:29
263244.847840853,6619780.41891417,2021-05-07 07:09:34
263226.656846106,6619772.52784158,2021-05-07 07:11:35
263220.163024003,6619779.75105418,2021-05-07 07:13:38
263211.538486944,6619796.15405008,2021-05-07 07:15:42
263211.581342828,6619800.39449628,2021-05-07 07:17:44
263211.902720081,6619784.964729,2021-05-07 07:19:46
263229.703471631,6619770.65970498,2021-05-07 07:21:50
263270.678220114,6619770.62973003,2021-05-07 07:24:21
263293.359852443,6619733.45984633,2021-05-07 07:26:24
263285.859142735,6619737.28524015,2021-05-07 07:28:25
263289.242455173,6619726.46285138,2021-05-07 07:30:25
263285.969566701,6619720.30561457,2021-05-07 07:32:25
263290.234366123,6619724.27838806,2021-05-07 07:34:26
263291.170884643,6619729.24380429,2021-05-07 07:36:26
263289.137823647,6619733.72751468,2021-05-07 07:38:26
263298.348619667,6619731.02199692,2021-05-07 07:40:30
263290.579856322,6619729.7279223,2021-05-07 07:42:31
263295.720841461,6619762.67726876,2021-05-07 07:44:31
263298.309100754,6619752.68692598,2021-05-07 07:46:31
263295.891981744,6619780.53233783,2021-05-07 07:48:31
263276.944047679,6619794.57478006,2021-05-07 07:50:32
263278.013492873,6619793.61367755,2021-05-07 07:52:32
263278.013492873,6619793.61367755,2021-05-07 07:54:32
263278.013492873,6619793.61367755,2021-05-07 07:56:32
263278.013492873,6619793.61367755,2021-05-07 07:58:33
263278.013492873,6619793.61367755,2021-05-07 08:00:33
263278.013492873,6619793.61367755,2021-05-07 08:02:33
263270.920478569,6619793.17010583,2021-05-07 08:04:33
263270.920478569,6619793.17010583,2021-05-07 08:06:33
263270.920478569,6619793.17010583,2021-05-07 08:08:34
263270.897889759,6619782.11699398,2021-05-07 08:10:35
263265.362319325,6619799.10562807,2021-05-07 08:12:48
263290.547830091,6619809.45662514,2021-05-09 17:36:09
263273.650740172,6619793.44364327,2021-05-09 17:38:09
263269.083129892,6619787.36851353,2021-05-09 17:40:09
263269.083129892,6619787.36851353,2021-05-09 17:42:09
263269.083129892,6619787.36851353,2021-05-09 17:44:09
263269.083129892,6619787.36851353,2021-05-09 17:46:09
263269.083129892,6619787.36851353,2021-05-09 17:48:09
263269.208980303,6619781.33078247,2021-05-09 17:50:09
263279.301411858,6619795.20695055,2021-05-09 17:52:09
263278.702284943,6619787.54025585,2021-05-09 17:54:09
263274.937593086,6619786.99731475,2021-05-09 17:56:09
263274.937593086,6619786.99731475,2021-05-09 17:58:09
263274.937593086,6619786.99731475,2021-05-09 18:00:09
263274.937593086,6619786.99731475,2021-05-09 18:02:09
263270.334840401,6619781.25939745,2021-05-09 18:04:09
263273.599834763,6619781.05238282,2021-05-09 18:06:09
263273.599834763,6619781.05238282,2021-05-09 18:08:09
263266.980222238,6619795.2065324,2021-05-09 18:10:09
263261.244920995,6619792.10866426,2021-05-09 18:12:09
263288.820446201,6619783.1022431,2021-05-09 18:16:39
263268.132721586,6619783.96725037,2021-05-09 18:22:46
263268.132721586,6619783.96725037,2021-05-09 18:24:46
263268.132721586,6619783.96725037,2021-05-09 18:26:47
263268.132721586,6619783.96725037,2021-05-09 18:28:47
263268.132721586,6619783.96725037,2021-05-09 18:30:47
263268.132721586,6619783.96725037,2021-05-09 18:32:47
263266.767226165,6619781.15061654,2021-05-09 18:34:47
263266.767226165,6619781.15061654,2021-05-09 18:36:47
263266.767226165,6619781.15061654,2021-05-09 18:38:47
263274.198971191,6619788.71907693,2021-05-09 18:40:47
263271.384326663,6619788.89753732,2021-05-09 18:42:48
263279.131356752,6619786.28476916,2021-05-09 18:45:18
263275.993647485,6619791.1735151,2021-05-09 18:47:19
263275.993647485,6619791.1735151,2021-05-09 18:49:19
263273.066300017,6619790.46582367,2021-05-09 18:51:20
263267.472151523,6619790.48553418,2021-05-09 18:53:20
263271.497031875,6619789.78368777,2021-05-09 18:55:20
263254.201634714,6619795.12349583,2021-05-09 18:57:22
263262.870848228,6619795.46709338,2021-05-09 18:59:22
263273.54496789,6619791.77541882,2021-05-09 19:01:22
263275.648010141,6619784.83069288,2021-05-09 19:03:24
263288.319365174,6619771.63282411,2021-05-09 19:05:25
263326.688883223,6619758.14587715,2021-05-09 19:07:28
263321.066173724,6619755.04078032,2021-05-09 19:09:57
263294.753654064,6619737.61463852,2021-05-09 19:11:57
263287.090044262,6619787.90175551,2021-05-09 19:14:25
263267.352755092,6619792.16803567,2021-05-09 19:16:25
263268.004354603,6619771.24591405,2021-05-09 19:18:25
263263.931057925,6619778.31557071,2021-05-09 19:20:27
263267.394342503,6619787.47559181,2021-05-09 19:22:30
263256.916932296,6619788.92156826,2021-05-10 12:31:41
263275.589781896,6619823.13446954,2021-05-10 12:33:41
263273.582134076,6619806.62411609,2021-05-10 12:35:41
263269.345481876,6619802.20293406,2021-05-10 12:37:41
