x,y,date
263777.581290793,6620186.61935474,2021-05-05 03:53:38
263777.581290793,6620186.61935474,2021-05-05 03:55:46
263777.581290793,6620186.61935474,2021-05-05 03:57:54
263770.221565629,6620173.01579581,2021-05-05 04:00:02
263805.288410488,6620181.5163755,2021-05-05 04:21:58
263802.762593663,6620188.04085468,2021-05-05 04:24:06
263771.71261279,6620136.74330686,2021-05-05 04:26:14
263810.924059319,6620169.65874377,2021-05-05 05:18:26
263777.018289025,6620177.72210784,2021-05-05 05:20:26
263770.031710876,6620179.8391262,2021-05-05 05:22:31
263772.599621652,6620168.62219864,2021-05-05 05:25:31
263760.293917721,6620171.52247149,2021-05-05 05:27:31
263762.383523686,6620168.8220349,2021-05-05 05:29:31
263764.606884098,6620170.02126836,2021-05-05 05:31:31
263795.346669913,6620173.54752333,2021-05-05 06:38:17
263795.191839272,6620169.3142073,2021-05-05 06:41:27
263778.207311687,6620175.07866806,2021-05-05 06:44:07
263794.706385057,6620171.46647988,2021-05-05 06:46:26
263816.756817461,6620174.31445229,2021-05-05 06:48:41
263794.347625025,6620178.30049245,2021-05-05 06:50:49
263794.347625025,6620178.30049245,2021-05-05 06:52:57
263794.347625025,6620178.30049245,2021-05-05 06:55:04
263802.291092874,6620176.12297687,2021-05-05 06:57:10
263798.611327276,6620175.12753315,2021-05-05 06:59:15
263801.137215683,6620176.64262784,2021-05-05 07:01:19
263801.425657189,6620173.16289147,2021-05-05 07:03:23
263769.679869247,6620176.95820671,2021-05-05 07:05:27
263771.671184764,6620186.99334046,2021-05-05 07:07:31
263764.557763839,6620177.28233768,2021-05-05 07:09:35
263767.751963054,6620172.3904463,2021-05-05 07:11:50
263764.818020175,6620173.35773548,2021-05-05 07:13:55
263783.688288073,6620177.74669203,2021-05-05 07:16:00
263783.688288073,6620177.74669203,2021-05-05 07:18:03
263773.232923636,6620173.2718823,2021-05-05 07:20:06
263775.041115792,6620171.48254834,2021-05-05 07:22:10
263775.041115792,6620171.48254834,2021-05-05 07:24:14
263778.144039278,6620178.54415983,2021-05-05 07:26:17
263770.678869591,6620171.31194387,2021-05-05 07:28:21
263772.430917226,6620178.45903486,2021-05-05 07:30:25
263773.838088504,6620178.36999015,2021-05-05 07:32:31
263773.838088504,6620178.36999015,2021-05-05 07:34:34
263772.24792383,6620174.67414334,2021-05-05 07:36:38
263773.915376697,6620171.55378366,2021-05-05 07:38:42
263774.161651062,6620172.76646974,2021-05-05 07:40:50
263766.710631308,6620171.1164113,2021-05-05 07:42:54
263768.856709913,6620179.13185405,2021-05-05 07:44:58
263770.819876448,6620188.72212508,2021-05-05 08:44:50
263767.125799835,6620174.10498426,2021-05-05 08:52:58
263767.125799835,6620174.10498426,2021-05-05 08:55:06
263767.125799835,6620174.10498426,2021-05-05 08:57:14
263767.125799835,6620174.10498426,2021-05-05 08:59:22
263750.351728218,6620148.36786508,2021-05-05 09:01:30
263760.610508571,6620170.27416642,2021-05-05 09:37:06
263760.610508571,6620170.27416642,2021-05-05 09:39:14
263760.610508571,6620170.27416642,2021-05-05 09:41:22
263769.475715449,6620170.15980917,2021-05-05 09:43:30
263769.475715449,6620170.15980917,2021-05-05 09:45:38
263769.475715449,6620170.15980917,2021-05-05 09:47:46
263769.475715449,6620170.15980917,2021-05-05 09:49:54
263769.475715449,6620170.15980917,2021-05-05 09:52:02
263769.475715449,6620170.15980917,2021-05-05 09:54:10
263769.475715449,6620170.15980917,2021-05-05 09:56:31
263769.475715449,6620170.15980917,2021-05-05 09:58:39
263769.475715449,6620170.15980917,2021-05-05 10:00:47
263751.991773797,6620180.53409496,2021-05-05 10:03:39
263781.75339853,6620175.74756835,2021-05-05 10:05:46
263781.75339853,6620175.74756835,2021-05-05 10:08:15
263781.711359146,6620188.47957071,2021-05-05 11:13:07
263781.711359146,6620188.47957071,2021-05-05 11:15:15
263781.711359146,6620188.47957071,2021-05-05 11:17:23
263781.711359146,6620188.47957071,2021-05-05 11:19:31
263781.711359146,6620188.47957071,2021-05-05 11:21:39
263781.711359146,6620188.47957071,2021-05-05 11:23:47
263781.711359146,6620188.47957071,2021-05-05 11:25:55
263781.711359146,6620188.47957071,2021-05-05 11:28:03
263781.711359146,6620188.47957071,2021-05-05 11:30:11
263781.711359146,6620188.47957071,2021-05-05 11:32:19
263781.711359146,6620188.47957071,2021-05-05 11:34:27
263781.711359146,6620188.47957071,2021-05-05 11:36:35
263781.711359146,6620188.47957071,2021-05-05 11:38:42
263781.711359146,6620188.47957071,2021-05-05 11:40:50
263781.711359146,6620188.47957071,2021-05-05 11:42:58
263781.711359146,6620188.47957071,2021-05-05 11:45:06
263781.711359146,6620188.47957071,2021-05-05 11:47:14
263781.711359146,6620188.47957071,2021-05-05 11:49:22
263762.123087618,6620162.92048593,2021-05-05 12:15:15
263768.961947159,6620161.14778564,2021-05-05 12:41:10
263768.961947159,6620161.14778564,2021-05-05 12:43:18
263768.961947159,6620161.14778564,2021-05-05 12:45:26
263808.173006602,6620165.47802872,2021-05-05 12:48:11
263761.700909885,6620161.60727083,2021-05-05 12:51:04
263792.708308076,6620181.86570514,2021-05-05 12:53:12
263809.93908271,6620177.31399827,2021-05-05 12:55:15
263809.93908271,6620177.31399827,2021-05-05 12:57:23
263809.93908271,6620177.31399827,2021-05-05 12:59:31
263798.857585441,6620175.44693439,2021-05-05 13:02:59
263798.857585441,6620175.44693439,2021-05-05 13:05:07
263780.852796017,6620174.91126859,2021-05-05 13:26:57
263780.852796017,6620174.91126859,2021-05-05 13:29:02
263780.852796017,6620174.91126859,2021-05-05 13:31:06
263780.852796017,6620174.91126859,2021-05-05 13:33:10
263780.852796017,6620174.91126859,2021-05-05 13:35:14
263780.852796017,6620174.91126859,2021-05-05 13:37:18
263780.852796017,6620174.91126859,2021-05-05 13:39:22
263780.852796017,6620174.91126859,2021-05-05 13:41:26
263787.628262087,6620168.56451646,2021-05-05 13:43:33
263765.514280914,6620156.67619632,2021-05-05 13:45:37
