x,y,date
262527.330105723,6620450.41243166,2021-05-03 12:04:40
262535.660330468,6620450.77579501,2021-05-03 12:06:40
262538.267731162,6620442.90509756,2021-05-03 12:08:42
262530.297370178,6620445.53376501,2021-05-03 12:10:47
262538.649146132,6620447.12407017,2021-05-03 12:12:50
262543.618110005,6620452.39117479,2021-05-03 12:14:55
262543.455389022,6620449.83325167,2021-05-03 12:16:59
262551.406404766,6620452.23072674,2021-05-03 12:19:11
262551.406404766,6620452.23072674,2021-05-03 12:21:15
262548.261310388,6620451.64914642,2021-05-03 12:23:19
262544.899733163,6620455.65956842,2021-05-03 12:25:29
262542.435533,6620450.67977822,2021-05-03 12:27:33
262542.60438244,6620450.6690369,2021-05-03 12:29:39
262542.057280143,6620455.39373351,2021-05-03 12:31:43
262542.823387162,6620453.22337956,2021-05-03 12:33:47
262542.823387162,6620453.22337956,2021-05-03 12:35:51
262547.288460801,6620446.12782768,2021-05-03 12:37:55
262547.288460801,6620446.12782768,2021-05-03 12:39:59
262547.288460801,6620446.12782768,2021-05-03 12:42:04
262547.288460801,6620446.12782768,2021-05-03 12:44:08
262547.288460801,6620446.12782768,2021-05-03 12:46:12
262546.431636511,6620450.42556913,2021-05-03 12:48:16
262550.353372789,6620458.77423025,2021-05-03 12:50:20
262534.390309092,6620440.58348957,2021-05-03 12:52:25
262532.702127736,6620441.58419955,2021-05-03 12:54:30
262546.038284222,6620452.2372174,2021-05-03 12:56:35
262542.541971621,6620453.24128174,2021-05-03 12:58:42
262546.572501747,6620450.86326458,2021-05-03 13:00:50
262557.213452318,6620460.01280857,2021-05-03 13:02:54
262559.155059848,6620459.44264512,2021-05-03 13:04:59
262559.155059848,6620459.44264512,2021-05-03 13:07:03
262559.155059848,6620459.44264512,2021-05-03 13:09:07
262559.155059848,6620459.44264512,2021-05-03 13:11:12
262559.155059848,6620459.44264512,2021-05-03 13:13:17
262559.155059848,6620459.44264512,2021-05-03 13:15:22
262559.155059848,6620459.44264512,2021-05-03 13:17:27
262559.155059848,6620459.44264512,2021-05-03 13:19:32
262559.155059848,6620459.44264512,2021-05-03 13:21:37
262559.155059848,6620459.44264512,2021-05-03 13:23:43
262559.155059848,6620459.44264512,2021-05-03 13:25:51
262551.269620307,6620463.40583718,2021-05-03 13:27:59
262548.517886375,6620461.01260911,2021-05-03 13:30:10
262548.517886375,6620461.01260911,2021-05-03 13:32:18
262548.517886375,6620461.01260911,2021-05-03 13:34:26
262548.517886375,6620461.01260911,2021-05-03 13:36:34
262553.921053476,6620460.66889928,2021-05-03 13:38:42
262567.525902663,6620475.5481251,2021-05-03 13:41:26
262544.612504721,6620459.13942763,2021-05-03 13:48:08
262547.554945557,6620463.64213954,2021-05-03 13:50:16
262553.620609436,6620466.6062078,2021-05-03 13:52:24
262554.999697217,6620466.96513766,2021-05-03 13:54:32
262544.149353554,6620462.51881408,2021-05-03 13:58:52
262544.149353554,6620462.51881408,2021-05-03 14:01:00
262547.673326726,6620460.17302169,2021-05-03 14:03:08
262558.657773184,6620465.8391301,2021-05-03 14:05:16
262534.068029073,6620444.40057244,2021-05-03 14:07:25
262552.288846713,6620460.77272747,2021-05-03 14:11:49
262562.453691634,6620476.65241345,2021-05-03 14:13:57
262562.453691634,6620476.65241345,2021-05-03 14:16:05
262562.453691634,6620476.65241345,2021-05-03 14:18:13
