x,y,date
262528.724629198,6620454.56695161,2021-05-03 12:00:08
262526.438568131,6620455.94069387,2021-05-03 12:02:27
262533.837012092,6620467.41808104,2021-05-03 12:04:29
262527.011031646,6620463.1624443,2021-05-03 12:06:30
262527.429798684,6620453.75601384,2021-05-03 12:09:00
262556.137626469,6620461.75620434,2021-05-03 12:11:00
262562.707341418,6620457.54172344,2021-05-03 12:13:01
262566.352831858,6620460.65975901,2021-05-03 12:15:01
262560.055587999,6620459.38536218,2021-05-03 12:17:04
262565.255468921,6620461.17621713,2021-05-03 12:19:04
262566.325155995,6620462.0014881,2021-05-03 12:21:05
262567.10635367,6620462.73344563,2021-05-03 12:23:06
262566.02469291,6620467.9387952,2021-05-03 12:25:08
262562.800863234,6620463.45396996,2021-05-03 12:27:11
262571.740923752,6620457.41376884,2021-05-03 12:29:19
262586.633851995,6620433.01706312,2021-05-03 12:31:20
262561.675430972,6620443.98434711,2021-05-03 12:33:32
262541.979456466,6620454.17037899,2021-05-03 12:35:32
262531.332330218,6620447.58954181,2021-05-03 12:37:32
262531.332330218,6620447.58954181,2021-05-03 12:39:32
262531.332330218,6620447.58954181,2021-05-03 12:41:32
262531.332330218,6620447.58954181,2021-05-03 12:43:33
262531.332330218,6620447.58954181,2021-05-03 12:45:34
262531.332330218,6620447.58954181,2021-05-03 12:47:35
262542.138389073,6620446.00878824,2021-05-03 12:49:37
262546.025709634,6620456.4812533,2021-05-03 12:51:40
262553.50804363,6620466.61336836,2021-05-03 12:53:43
262555.083964923,6620466.5131209,2021-05-03 12:55:45
262554.883686668,6620457.14607786,2021-05-03 12:57:55
262546.607417256,6620470.06726955,2021-05-03 12:59:57
262562.976475078,6620462.66115091,2021-05-03 13:01:57
262556.610052061,6620464.74108291,2021-05-03 13:04:16
262567.556927519,6620463.59809778,2021-05-03 13:07:16
262568.401171679,6620463.54439689,2021-05-03 13:09:19
262542.154117266,6620450.69768043,2021-05-03 13:11:22
262522.76125384,6620423.0103882,2021-05-03 13:13:30
262536.347975916,6620445.59549956,2021-05-03 13:15:33
262537.335734267,6620433.58460111,2021-05-03 13:17:36
262536.72305892,6620431.94861514,2021-05-03 13:19:38
262536.72305892,6620431.94861514,2021-05-03 13:21:40
262546.106513318,6620446.20301553,2021-05-03 13:23:41
262548.970510625,6620447.69578861,2021-05-03 13:25:43
262553.720774189,6620451.30185624,2021-05-03 13:27:49
262549.158072998,6620440.87234752,2021-05-03 13:29:54
262532.717549031,6620445.37979908,2021-05-03 13:31:58
262558.282829346,6620459.94478455,2021-05-03 13:34:01
262557.060002781,6620463.81914835,2021-05-03 13:36:07
262557.060002781,6620463.81914835,2021-05-03 13:38:07
262548.796157248,6620452.0617795,2021-05-03 13:40:08
262549.774822406,6620454.1211415,2021-05-03 13:42:09
262547.210324735,6620444.0111803,2021-05-03 13:44:13
262556.246753256,6620451.92282364,2021-05-03 13:46:16
262556.628042939,6620435.7072786,2021-05-03 13:48:20
262553.295179503,6620461.49036101,2021-05-03 13:50:24
262540.456852603,6620465.76864414,2021-05-03 13:52:28
262538.249572687,6620471.04561227,2021-05-03 13:54:31
262538.230252653,6620476.07172721,2021-05-03 13:56:34
262548.395415056,6620452.86892067,2021-05-03 13:58:37
262542.544944054,6620441.73968919,2021-05-03 14:00:42
262544.06459267,6620441.64301774,2021-05-03 14:02:45
262546.259955209,6620442.3966751,2021-05-03 14:04:55
262557.526291404,6620469.37269119,2021-05-03 14:06:58
262552.147982357,6620460.33503182,2021-05-03 14:09:00
262547.595189987,6620458.05637431,2021-05-03 14:11:05
262555.975539148,6620460.98486637,2021-05-03 14:13:09
262563.901258381,6620451.43591995,2021-05-03 14:15:11
262567.018982756,6620454.25253515,2021-05-03 14:17:11
262558.254219453,6620458.60663554,2021-05-03 14:19:12
262560.884438211,6620455.53606058,2021-05-03 14:21:14
262561.840627873,6620453.68861249,2021-05-03 14:23:18
262561.840627873,6620453.68861249,2021-05-03 14:25:19
262568.995345815,6620452.45186192,2021-05-03 14:27:21
262560.2029022,6620458.14768672,2021-05-03 14:29:24
262551.285026091,6620467.20143639,2021-05-03 14:31:25
262550.966039408,6620460.41021824,2021-05-03 14:33:26
262560.809113535,6620461.45904761,2021-05-03 14:35:28
262562.103933481,6620462.26999673,2021-05-03 14:37:29
262551.304051357,6620461.28202914,2021-05-03 14:39:30
262561.46297477,6620460.18915074,2021-05-03 14:41:31
262559.633621401,6620459.8588599,2021-05-03 14:43:36
262552.739110645,6620460.74408514,2021-05-03 14:45:39
262563.454413548,6620461.29078073,2021-05-03 14:47:43
262559.868011876,6620466.20880236,2021-05-03 14:49:47
262556.772764935,6620467.2990064,2021-05-03 14:51:52
262562.040887694,6620463.05565553,2021-05-03 14:53:55
262554.315034424,6620460.64383741,2021-05-03 14:55:59
262539.249685971,6620434.35615705,2021-05-03 14:58:04
262539.681255617,6620441.14021371,2021-05-03 15:00:08
262560.664680091,6620410.32609476,2021-05-04 01:58:58
262542.785631027,6620425.979739,2021-05-04 02:01:00
262552.654398812,6620439.86828966,2021-05-04 02:03:03
262547.382165907,6620432.49884701,2021-05-04 02:05:08
262542.413815477,6620429.01832258,2021-05-04 02:07:12
262550.400069363,6620451.51309365,2021-05-04 02:09:16
262546.99808382,6620440.67475871,2021-05-04 02:11:18
262543.404435153,6620425.04706155,2021-05-04 02:13:21
262548.514741629,6620452.07968124,2021-05-04 02:15:25
262543.627215803,6620438.32091793,2021-05-04 02:17:27
262566.03691753,6620442.36694919,2021-05-04 02:19:39
262566.090413837,6620434.32373487,2021-05-04 02:21:43
262564.223566742,6620447.6188403,2021-05-04 02:23:46
